Method:,Hadamard 1,,
Host Date-Time:,21/4/22 @ 16:25:28,,
Header Version:,1,,
System Temp (C):,34.25,,
Detector Temp (C):,0,,
Humidity (%):,56.74,,
Lamp PD:,3419,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22E-05
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.458,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,0.578136,66710,17622
905.331226,0.569695,78157,21051
909.259927,0.564817,86609,23591
913.184288,0.559107,93489,25802
917.104308,0.564053,100845,27517
921.019987,0.564995,109482,29809
924.931325,0.562647,119909,32825
930.13969,0.560458,137192,37746
934.0409,0.559064,152853,42190
937.937768,0.555466,169744,47242
941.830296,0.547217,186508,52903
945.718482,0.542424,202505,58078
949.602328,0.536182,217278,63217
953.481833,0.53431,230871,67462
957.356997,0.530064,244614,72180
961.22782,0.529686,258290,76282
965.094302,0.529843,272207,80363
968.956444,0.532296,285930,83939
972.814244,0.537257,299324,86873
976.667703,0.547544,312317,88522
981.798897,0.566677,328323,89048
985.642228,0.575959,339047,90012
989.481217,0.56761,347929,94163
993.315866,0.554467,355969,99299
997.146174,0.541757,362225,104045
1000.972141,0.535851,367316,106952
1004.793768,0.533242,370988,108672
1008.611053,0.532192,373767,109751
1012.423997,0.532402,375552,110222
1016.232601,0.532207,376293,110489
1020.036863,0.531523,376711,110786
1023.836785,0.531101,377323,111074
1028.896595,0.530171,377418,111340
1032.686388,0.528668,377404,111722
1036.47184,0.526576,377110,112174
1040.252951,0.525931,377014,112312
1044.029721,0.52405,376852,112751
1047.80215,0.523502,377578,113111
1051.570239,0.521458,378360,113880
1055.333986,0.520811,379943,114527
1059.093393,0.519337,381341,115339
1062.848459,0.518955,382852,115898
1066.599184,0.517385,385285,117057
1070.345568,0.515808,388277,118395
1075.333994,0.515918,391754,119425
1079.070249,0.514989,394773,120603
1082.802163,0.513586,397689,121887
1086.529736,0.512908,400401,122910
1090.252969,0.510701,403068,124359
1093.97186,0.510567,406200,125364
1097.686411,0.509402,409002,126568
1101.396621,0.507168,410878,127804
1105.10249,0.506218,412864,128703
1108.804018,0.504988,415004,129737
1112.501205,0.503373,416484,130685
1116.194051,0.502588,417087,131111
1121.111093,0.500799,418497,132097
1124.793811,0.500268,419748,132654
1128.472187,0.500346,419934,132689
1132.146223,0.503172,420245,131926
1135.815917,0.506239,420439,131058
1139.481271,0.51058,420703,129836
1143.142284,0.514917,420850,128591
1146.798956,0.517857,421771,128003
1150.451287,0.523148,422045,126535
1154.099277,0.52963,422934,124923
1157.742927,0.538209,423730,122710
1161.382235,0.550562,424814,119574
1166.227894,0.564677,426703,116265
1169.857073,0.572291,428315,114676
1173.481912,0.579875,430631,113300
1177.10241,0.589575,433684,111583
1180.718567,0.597753,436430,110195
1184.330383,0.606407,440333,108987
1187.937858,0.617616,446216,107629
1191.540992,0.628706,452603,106417
1195.139786,0.637046,457940,105624
1198.734238,0.640834,464099,106115
1202.324349,0.64139,470422,107423
1205.91012,0.636824,477509,110194
1209.49155,0.635245,484442,112201
1214.260037,0.633105,494430,115080
1217.831338,0.629588,503023,118032
1221.398298,0.624262,510557,121278
1224.960917,0.618906,518370,124662
1228.519195,0.6142,525876,127845
1232.073133,0.608258,534924,131836
1235.622729,0.602126,543735,135913
1239.167985,0.601557,552416,138264
1242.708899,0.601401,560133,140246
1246.245473,0.601721,569272,142429
1249.777706,0.602487,579005,144609
1253.305598,0.601097,587987,147323
1258.002701,0.599629,599694,150765
1261.520465,0.599122,608633,153191
1265.033887,0.597591,616784,155791
1268.542968,0.599168,625091,157317
1272.047709,0.600634,634956,159261
1275.548108,0.600545,645504,161940
1279.044167,0.598423,655587,165275
1282.535885,0.594128,663922,169040
1286.023262,0.589408,671751,172902
1289.506298,0.583733,679680,177244
1292.984993,0.578555,686584,181192
1296.459347,0.574991,693263,184462
1301.085067,0.569944,699708,188353
1304.549292,0.567551,704249,190623
1308.009177,0.565842,708001,192394
1311.46472,0.564748,711016,193701
1314.915923,0.564835,714948,194733
1318.362785,0.564935,718007,195521
1321.805306,0.566062,720446,195677
1325.243486,0.567615,721901,195372
1328.677325,0.570176,722847,194478
1332.106823,0.573072,724020,193499
1335.53198,0.578789,724288,191039
1338.952797,0.586492,723120,187378
1343.507133,0.59896,722219,181848
1346.91782,0.611586,721047,176351
1350.324167,0.625475,719268,170379
1353.726173,0.642706,716267,163068
1357.123838,0.659404,714485,156527
1360.517162,0.676609,712680,150067
1363.906145,0.691218,710356,144630
1367.290787,0.704976,707390,139535
1370.671089,0.718967,704592,134577
1374.047049,0.728182,702177,131300
1377.418669,0.7349,700827,129036
1380.785947,0.733645,698550,128989
1384.148885,0.729285,697218,130042
1388.62605,0.723459,697174,131790
1391.978858,0.723909,696224,131474
1395.327327,0.725577,693847,130523
1398.671454,0.730776,692095,128644
1402.01124,0.737423,690007,126308
1405.346685,0.747896,687514,122853
1408.67779,0.766646,684705,117181
1412.004553,0.792967,682706,109968
1415.326976,0.827877,680752,101184
1418.645058,0.874887,678470,90499
1421.958799,0.930087,676178,79428
1425.268199,0.993057,674481,68535
1429.67398,1.097179,673255,53827
1432.973251,1.201039,671666,42278
1436.268181,1.303351,670192,33331
1439.55877,1.364999,670398,28929
1442.845019,1.359232,669786,29289
1446.126927,1.306439,668555,33014
1449.404493,1.254837,667527,37122
1452.677719,1.216562,667145,40519
1455.946604,1.201948,666259,41850
1459.211148,1.201551,664888,41802
1462.471351,1.214427,662596,40441
1465.727213,1.232505,660339,38660
1470.06161,1.255482,657083,36487
1473.307344,1.278478,654268,34457
1476.548736,1.291563,651345,33285
1479.785788,1.31267,649168,31600
1483.018499,1.325595,646768,30560
1486.246869,1.336128,643543,29679
1489.470897,1.344506,640272,28964
1492.690586,1.355909,637177,28077
1495.905933,1.360676,633998,27632
1499.116939,1.366675,630441,27100
1502.323604,1.370177,626492,26714
1505.525929,1.369044,622498,26613
1509.788942,1.37496,617236,26031
1512.981138,1.369876,613309,26170
1516.168993,1.371443,608165,25857
1519.352506,1.374144,604219,25530
1522.531679,1.381386,599460,24910
1525.706511,1.382026,594149,24653
1528.877003,1.378416,588992,24643
1532.043153,1.375578,583636,24579
1535.204962,1.368878,577975,24719
1538.362431,1.36264,571876,24812
1541.515558,1.352295,566044,25151
1544.664345,1.34146,559692,25497
1548.855975,1.339165,550650,25218
1551.994632,1.331701,544014,25346
1555.128949,1.334778,537009,24843
1558.258926,1.331715,529951,24690
1561.384561,1.337939,522425,23993
1564.505855,1.345524,514612,23225
1567.622808,1.34876,506919,22708
1570.735421,1.356147,498813,21968
1573.843693,1.360853,490337,21362
1576.947623,1.364177,481799,20830
1580.047213,1.364429,473169,20445
1583.142462,1.376708,464240,19500
1586.23337,1.371049,454846,19356
1590.347828,1.365088,443037,19114
1593.428607,1.354334,433603,19176
1596.505046,1.331959,424822,19781
1599.577143,1.319138,415467,19925
1602.6449,1.306863,405875,20023
1605.708315,1.281174,396167,20735
1608.76739,1.262979,386270,21082
1611.822124,1.245928,377335,21419
1614.872517,1.221878,367141,22027
1617.918569,1.207126,357522,22191
1620.96028,1.192046,348309,22383
1623.99765,1.175737,339503,22652
1628.040725,1.150655,327369,23141
1631.067966,1.135735,318336,23289
1634.090867,1.114614,309136,23743
1637.109426,1.101724,300336,23762
1640.123645,1.090755,291009,23613
1643.133523,1.079203,281990,23498
1646.13906,1.069362,272399,23219
1649.140256,1.053425,262607,23221
1652.137111,1.052105,252745,22417
1655.129625,1.031078,241734,22504
1658.117799,1.024789,229810,21706
1661.101631,1.000143,215801,21573
1665.073322,0.97222,193911,20672
1668.047026,0.949795,174674,19608
1671.016388,0.924775,154518,18374
1673.98141,0.907366,134114,16600
1676.942091,0.884203,114602,14962
1679.898431,0.880192,96807,12756
1682.85043,0.89375,81602,10422
1685.798089,0.935534,68378,7932
1688.741406,0.964016,57834,6283
1691.680383,0.964185,49219,5345
1694.615018,0.946542,42034,4754
1697.545313,0.905669,36142,4491
1701.44562,0.88294,29564,3871
